away_team,away_team_id,away_team_norm,b2b_away,b2b_home,book,date,decimal_home,edge_away,edge_home,event_id,home_team,home_team_id,home_team_norm,implied_away,implied_home,league,moneyline_away,moneyline_home,proj_away,proj_home,rest_days_away,rest_days_home,stake_home,status,streak_away,streak_home
Milwaukee Bucks,15,milwaukee bucks,False,False,draftkings,2025-11-13T00:00Z,2.8,-0.010000000000000009,-0.010000000000000009,401810068,Charlotte Hornets,30,charlotte hornets,0.6855345911949685,0.35714285714285715,nba,-218,180,0.6755345911949685,0.34714285714285714,-1,-1,0.0,Scheduled,0,0
Chicago Bulls,4,chicago bulls,False,False,draftkings,2025-11-13T00:00Z,1.7407407407407407,-0.010000000000000009,-0.010000000000000009,401810069,Detroit Pistons,8,detroit pistons,0.4672897196261682,0.574468085106383,nba,114,-135,0.4572897196261682,0.564468085106383,-1,-1,0.0,Scheduled,0,0
Orlando Magic,19,orlando magic,False,False,draftkings,2025-11-13T00:00Z,1.5555555555555556,-0.010000000000000009,-0.010000000000000009,401810070,New York Knicks,18,knicks,0.4,0.6428571428571429,nba,150,-180,0.39,0.6328571428571429,-1,-1,0.0,Scheduled,0,0
Memphis Grizzlies,29,memphis grizzlies,False,False,draftkings,2025-11-13T00:30Z,1.3875968992248062,-0.010000000000000009,-0.010000000000000009,401810071,Boston Celtics,2,boston celtics,0.3225806451612903,0.7206703910614525,nba,210,-258,0.3125806451612903,0.7106703910614525,-1,-1,0.0,Scheduled,0,0
Cleveland Cavaliers,5,cleveland cavaliers,False,False,draftkings,2025-11-13T00:30Z,1.4444444444444444,-0.010000000000000009,-0.010000000000000009,401810072,Miami Heat,14,miami heat,0.3508771929824561,0.6923076923076923,nba,185,-225,0.3408771929824561,0.6823076923076923,-1,-1,0.0,Scheduled,0,0
Washington Wizards,27,washington wizards,False,False,draftkings,2025-11-13T01:00Z,1.0625,-0.009999999999999995,-0.010000000000000009,401810073,Houston Rockets,10,houston rockets,0.1,0.9411764705882353,nba,900,-1600,0.09000000000000001,0.9311764705882353,-1,-1,0.0,Scheduled,0,0
Portland Trail Blazers,22,portland trail blazers,False,False,draftkings,2025-11-13T01:00Z,3.7,-0.010000000000000009,-0.010000000000000009,401810074,New Orleans Pelicans,3,orleans pelicans,0.7727272727272727,0.2702702702702703,nba,-340,270,0.7627272727272727,0.2602702702702703,-1,-1,0.0,Scheduled,0,0
Golden State Warriors,9,golden state warriors,False,False,draftkings,2025-11-13T01:00Z,1.5050505050505052,-0.010000000000000009,-0.010000000000000009,401810075,San Antonio Spurs,24,antonio spurs,0.3787878787878788,0.6644295302013423,nba,164,-198,0.3687878787878788,0.6544295302013423,-1,-1,0.0,Scheduled,0,0
Phoenix Suns,21,phoenix suns,False,False,draftkings,2025-11-13T01:30Z,1.9090909090909092,-0.010000000000000009,-0.010000000000000009,401810076,Dallas Mavericks,6,dallas mavericks,0.5238095238095238,0.5238095238095238,nba,-110,-110,0.5138095238095238,0.5138095238095238,-1,-1,0.0,Scheduled,0,0
Los Angeles Lakers,13,lakers,False,False,draftkings,2025-11-13T02:30Z,1.3597122302158273,-0.010000000000000009,-0.010000000000000009,401810077,Oklahoma City Thunder,25,oklahoma thunder,0.3076923076923077,0.7354497354497355,nba,225,-278,0.2976923076923077,0.7254497354497355,-1,-1,0.0,Scheduled,0,0
Atlanta Hawks,1,atlanta hawks,False,False,draftkings,2025-11-13T03:00Z,2.3600000000000003,-0.010000000000000009,-0.010000000000000009,401810078,Sacramento Kings,23,sacramento kings,0.6183206106870229,0.423728813559322,nba,-162,136,0.6083206106870229,0.413728813559322,-1,-1,0.0,Scheduled,0,0
Denver Nuggets,7,denver nuggets,False,False,draftkings,2025-11-13T03:30Z,2.24,-0.010000000000000009,-0.010000000000000009,401810079,LA Clippers,12,clippers,0.5967741935483871,0.44642857142857145,nba,-148,124,0.5867741935483871,0.43642857142857144,-1,-1,0.0,Scheduled,0,0
New York Rangers,13,rangers,False,False,draftkings,2025-11-13T00:00Z,1.6451612903225805,-0.010000000000000009,-0.010000000000000009,401802616,Tampa Bay Lightning,20,tampa bay lightning,0.43478260869565216,0.6078431372549019,nhl,130,-155,0.42478260869565215,0.5978431372549019,-1,-1,0.0,Scheduled,0,0
Edmonton Oilers,6,edmonton oilers,False,False,draftkings,2025-11-13T00:30Z,2.1399999999999997,-0.010000000000000009,-0.010000000000000009,401802617,Philadelphia Flyers,15,philadelphia flyers,0.574468085106383,0.4672897196261682,nhl,-135,114,0.564468085106383,0.4572897196261682,-1,-1,0.0,Scheduled,0,0
Buffalo Sabres,2,buffalo sabres,False,False,draftkings,2025-11-13T02:00Z,1.5405405405405406,-0.010000000000000009,-0.010000000000000009,401802618,Utah Mammoth,129764,utah mammoth,0.3937007874015748,0.6491228070175439,nhl,154,-185,0.3837007874015748,0.6391228070175439,-1,-1,0.0,Scheduled,0,0
New Jersey Devils,11,jersey devils,False,False,draftkings,2025-11-13T02:30Z,2.3,-0.010000000000000009,-0.010000000000000009,401802619,Chicago Blackhawks,4,chicago blackhawks,0.6078431372549019,0.43478260869565216,nhl,-155,130,0.5978431372549019,0.42478260869565215,-1,-1,0.0,Scheduled,0,0
