league,team_id,team_uid,team_slug,team_name,team_abbr,wins,losses,ties,win_pct,points_for,points_against,streak,games_played,rank
nfl,11,s:20~l:28~t:11,,Indianapolis Colts,IND,8.0,2.0,,0.8,321.0,206.0,1.0,,
nfl,7,s:20~l:28~t:7,,Denver Broncos,DEN,8.0,2.0,,0.8,235.0,173.0,7.0,,
nfl,17,s:20~l:28~t:17,,New England Patriots,NE,8.0,2.0,,0.8,265.0,192.0,7.0,,
nfl,24,s:20~l:28~t:24,,Los Angeles Chargers,LAC,7.0,3.0,,0.7,240.0,203.0,3.0,,
nfl,2,s:20~l:28~t:2,,Buffalo Bills,BUF,6.0,3.0,,0.6666667,248.0,197.0,-1.0,,
nfl,23,s:20~l:28~t:23,,Pittsburgh Steelers,PIT,5.0,4.0,,0.5555556,212.0,220.0,-1.0,,
nfl,30,s:20~l:28~t:30,,Jacksonville Jaguars,JAX,5.0,4.0,,0.5555556,205.0,220.0,-1.0,,
nfl,12,s:20~l:28~t:12,,Kansas City Chiefs,KC,5.0,4.0,,0.5555556,235.0,159.0,-1.0,,
nfl,34,s:20~l:28~t:34,,Houston Texans,HOU,4.0,5.0,,0.44444445,204.0,150.0,1.0,,
nfl,33,s:20~l:28~t:33,,Baltimore Ravens,BAL,4.0,5.0,,0.44444445,229.0,235.0,3.0,,
nfl,4,s:20~l:28~t:4,,Cincinnati Bengals,CIN,3.0,6.0,,0.33333334,216.0,300.0,-2.0,,
nfl,15,s:20~l:28~t:15,,Miami Dolphins,MIA,3.0,7.0,,0.3,210.0,256.0,1.0,,
nfl,20,s:20~l:28~t:20,,New York Jets,NYJ,2.0,7.0,,0.22222222,195.0,241.0,2.0,,
nfl,13,s:20~l:28~t:13,,Las Vegas Raiders,LV,2.0,7.0,,0.22222222,139.0,220.0,-3.0,,
nfl,5,s:20~l:28~t:5,,Cleveland Browns,CLE,2.0,7.0,,0.22222222,146.0,211.0,-2.0,,
nfl,10,s:20~l:28~t:10,,Tennessee Titans,TEN,1.0,8.0,,0.11111111,130.0,257.0,-4.0,,
nfl,21,s:20~l:28~t:21,,Philadelphia Eagles,PHI,7.0,2.0,,0.7777778,218.0,192.0,3.0,,
nfl,26,s:20~l:28~t:26,,Seattle Seahawks,SEA,7.0,2.0,,0.7777778,275.0,172.0,4.0,,
nfl,14,s:20~l:28~t:14,,Los Angeles Rams,LAR,7.0,2.0,,0.7777778,251.0,153.0,4.0,,
nfl,8,s:20~l:28~t:8,,Detroit Lions,DET,6.0,3.0,,0.6666667,283.0,200.0,1.0,,
nfl,27,s:20~l:28~t:27,,Tampa Bay Buccaneers,TB,6.0,3.0,,0.6666667,220.0,206.0,-1.0,,
nfl,3,s:20~l:28~t:3,,Chicago Bears,CHI,6.0,3.0,,0.6666667,239.0,247.0,2.0,,
nfl,25,s:20~l:28~t:25,,San Francisco 49ers,SF,6.0,4.0,,0.6,220.0,230.0,-1.0,,
nfl,9,s:20~l:28~t:9,,Green Bay Packers,GB,5.0,3.0,1.0,0.6111111,213.0,176.0,-2.0,,
nfl,29,s:20~l:28~t:29,,Carolina Panthers,CAR,5.0,5.0,,0.5,177.0,222.0,-1.0,,
nfl,16,s:20~l:28~t:16,,Minnesota Vikings,MIN,4.0,5.0,,0.44444445,201.0,213.0,-1.0,,
nfl,6,s:20~l:28~t:6,,Dallas Cowboys,DAL,3.0,5.0,1.0,0.3888889,263.0,277.0,-2.0,,
nfl,22,s:20~l:28~t:22,,Arizona Cardinals,ARI,3.0,6.0,,0.33333334,202.0,215.0,-1.0,,
nfl,1,s:20~l:28~t:1,,Atlanta Falcons,ATL,3.0,6.0,,0.33333334,168.0,209.0,-4.0,,
nfl,28,s:20~l:28~t:28,,Washington Commanders,WSH,3.0,7.0,,0.3,223.0,280.0,-5.0,,
nfl,18,s:20~l:28~t:18,,New Orleans Saints,NO,2.0,8.0,,0.2,155.0,250.0,1.0,,
nfl,19,s:20~l:28~t:19,,New York Giants,NYG,2.0,8.0,,0.2,217.0,273.0,-4.0,,
