league,team_id,team_uid,team_slug,team_name,team_abbr,wins,losses,ties,win_pct,points_for,points_against,streak,games_played,rank
nhl,11,s:70~l:90~t:11,,New Jersey Devils,NJ,11.0,4.0,,,54.0,47.0,-1.0,16.0,
nhl,7,s:70~l:90~t:7,,Carolina Hurricanes,CAR,11.0,4.0,,,59.0,42.0,4.0,15.0,
nhl,10,s:70~l:90~t:10,,Montreal Canadiens,MTL,10.0,3.0,,,57.0,47.0,1.0,15.0,
nhl,16,s:70~l:90~t:16,,Pittsburgh Penguins,PIT,9.0,5.0,,,57.0,48.0,-2.0,17.0,
nhl,1,s:70~l:90~t:1,,Boston Bruins,BOS,10.0,7.0,,,57.0,56.0,6.0,17.0,
nhl,14,s:70~l:90~t:14,,Ottawa Senators,OTT,8.0,5.0,,,57.0,58.0,2.0,16.0,
nhl,20,s:70~l:90~t:20,,Tampa Bay Lightning,TB,8.0,5.0,,,46.0,41.0,2.0,15.0,
nhl,15,s:70~l:90~t:15,,Philadelphia Flyers,PHI,8.0,5.0,,,43.0,39.0,-1.0,15.0,
nhl,12,s:70~l:90~t:12,,New York Islanders,NYI,8.0,6.0,,,53.0,53.0,2.0,16.0,
nhl,5,s:70~l:90~t:5,,Detroit Red Wings,DET,9.0,7.0,,,46.0,51.0,-3.0,16.0,
nhl,13,s:70~l:90~t:13,,New York Rangers,NYR,8.0,7.0,,,41.0,43.0,1.0,17.0,
nhl,26,s:70~l:90~t:26,,Florida Panthers,FLA,8.0,7.0,,,43.0,48.0,1.0,16.0,
nhl,21,s:70~l:90~t:21,,Toronto Maple Leafs,TOR,8.0,7.0,,,59.0,60.0,-2.0,16.0,
nhl,23,s:70~l:90~t:23,,Washington Capitals,WSH,7.0,7.0,,,42.0,38.0,-2.0,15.0,
nhl,29,s:70~l:90~t:29,,Columbus Blue Jackets,CBJ,7.0,7.0,,,48.0,50.0,-4.0,15.0,
nhl,2,s:70~l:90~t:2,,Buffalo Sabres,BUF,5.0,6.0,,,41.0,49.0,-3.0,15.0,
nhl,17,s:70~l:90~t:17,,Colorado Avalanche,COL,10.0,1.0,,,64.0,42.0,3.0,16.0,
nhl,25,s:70~l:90~t:25,,Anaheim Ducks,ANA,11.0,3.0,,,63.0,46.0,7.0,15.0,
nhl,9,s:70~l:90~t:9,,Dallas Stars,DAL,9.0,4.0,,,49.0,51.0,2.0,16.0,
nhl,4,s:70~l:90~t:4,,Chicago Blackhawks,CHI,8.0,5.0,,,53.0,41.0,3.0,16.0,
nhl,28,s:70~l:90~t:28,,Winnipeg Jets,WPG,9.0,6.0,,,47.0,39.0,-3.0,15.0,
nhl,37,s:70~l:90~t:37,,Vegas Golden Knights,VGK,7.0,4.0,,,48.0,45.0,-3.0,15.0,
nhl,124292,s:70~l:90~t:124292,,Seattle Kraken,SEA,7.0,4.0,,,39.0,44.0,-1.0,15.0,
nhl,129764,s:70~l:90~t:129764,,Utah Mammoth,UTA,9.0,7.0,,,51.0,50.0,-3.0,16.0,
nhl,8,s:70~l:90~t:8,,Los Angeles Kings,LA,7.0,5.0,,,45.0,51.0,1.0,16.0,
nhl,6,s:70~l:90~t:6,,Edmonton Oilers,EDM,7.0,6.0,,,52.0,61.0,1.0,17.0,
nhl,18,s:70~l:90~t:18,,San Jose Sharks,SJ,7.0,6.0,,,53.0,56.0,3.0,16.0,
nhl,30,s:70~l:90~t:30,,Minnesota Wild,MIN,7.0,7.0,,,50.0,57.0,2.0,17.0,
nhl,22,s:70~l:90~t:22,,Vancouver Canucks,VAN,8.0,8.0,,,50.0,58.0,-1.0,17.0,
nhl,27,s:70~l:90~t:27,,Nashville Predators,NSH,5.0,9.0,,,47.0,65.0,-5.0,18.0,
nhl,19,s:70~l:90~t:19,,St. Louis Blues,STL,5.0,8.0,,,44.0,63.0,-1.0,16.0,
nhl,3,s:70~l:90~t:3,,Calgary Flames,CGY,4.0,11.0,,,36.0,55.0,-2.0,17.0,
