season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Tyrese Maxey,,,,10.0,,,,411.0,,,,,,,,,,,,0.617,29.5,,,basketball-reference
2025-26,Regular Season,,Cade Cunningham,,,,11.0,,,,407.0,,,,,,,,,,,,0.538,32.0,,,basketball-reference
2025-26,Regular Season,,Devin Booker,,,,11.0,,,,396.0,,,,,,,,,,,,0.627,31.1,,,basketball-reference
2025-26,Regular Season,,Franz Wagner,,,,11.0,,,,385.0,,,,,,,,,,,,0.597,24.5,,,basketball-reference
2025-26,Regular Season,,Shai Gilgeous-Alexander,,,,11.0,,,,383.0,,,,,,,,,,,,0.643,34.1,,,basketball-reference
2025-26,Regular Season,,Rui Hachimura,,,,11.0,,,,382.0,,,,,,,,,,,,0.697,16.1,,,basketball-reference
2025-26,Regular Season,,Paolo Banchero,,,,11.0,,,,381.0,,,,,,,,,,,,0.577,27.6,,,basketball-reference
2025-26,Regular Season,,VJ Edgecombe,,,,10.0,,,,376.0,,,,,,,,,,,,0.523,19.3,,,basketball-reference
2025-26,Regular Season,,Evan Mobley,,,,11.0,,,,373.0,,,,,,,,,,,,0.564,24.2,,,basketball-reference
2025-26,Regular Season,,Grayson Allen,,,,11.0,,,,372.0,,,,,,,,,,,,0.631,20.7,,,basketball-reference
2025-26,Regular Season,,Kelly Oubre Jr.,,,,10.0,,,,372.0,,,,,,,,,,,,0.629,17.9,,,basketball-reference
2025-26,Regular Season,,Dyson Daniels,,,,11.0,,,,369.0,,,,,,,,,,,,0.5,14.6,,,basketball-reference
2025-26,Regular Season,,Julius Randle,,,,11.0,,,,366.0,,,,,,,,,,,,0.663,28.1,,,basketball-reference
2025-26,Regular Season,,P.J. Washington,,,,11.0,,,,361.0,,,,,,,,,,,,0.527,22.3,,,basketball-reference
2025-26,Regular Season,,Derrick White,,,,11.0,,,,361.0,,,,,,,,,,,,0.453,22.8,,,basketball-reference
2025-26,Regular Season,,Cooper Flagg,,,,11.0,,,,360.0,,,,,,,,,,,,0.516,21.4,,,basketball-reference
2025-26,Regular Season,,Andrew Wiggins,,,,11.0,,,,359.0,,,,,,,,,,,,0.614,20.7,,,basketball-reference
2025-26,Regular Season,,Duncan Robinson,,,,11.0,,,,358.0,,,,,,,,,,,,0.613,12.2,,,basketball-reference
2025-26,Regular Season,,Trey Murphy III,,,,10.0,,,,355.0,,,,,,,,,,,,0.576,20.5,,,basketball-reference
2025-26,Regular Season,,Lauri Markkanen,,,,10.0,,,,353.0,,,,,,,,,,,,0.59,28.5,,,basketball-reference
2025-26,Regular Season,,Rudy Gobert,,,,11.0,,,,352.0,,,,,,,,,,,,0.744,11.9,,,basketball-reference
2025-26,Regular Season,,Payton Pritchard,,,,11.0,,,,352.0,,,,,,,,,,,,0.535,21.2,,,basketball-reference
2025-26,Regular Season,,DeMar DeRozan,,,,10.0,,,,352.0,,,,,,,,,,,,0.59,22.4,,,basketball-reference
2025-26,Regular Season,,Jaylen Brown,,,,11.0,,,,350.0,,,,,,,,,,,,0.61,35.5,,,basketball-reference
2025-26,Regular Season,,Miles Bridges,,,,10.0,,,,350.0,,,,,,,,,,,,0.583,24.1,,,basketball-reference
2025-26,Regular Season,,Jaden McDaniels,,,,11.0,,,,349.0,,,,,,,,,,,,0.656,21.3,,,basketball-reference
2025-26,Regular Season,,Ryan Rollins,,,,11.0,,,,342.0,,,,,,,,,,,,0.625,21.4,,,basketball-reference
2025-26,Regular Season,,Victor Wembanyama,,,,10.0,,,,342.0,,,,,,,,,,,,0.609,30.3,,,basketball-reference
2025-26,Regular Season,,Deni Avdija,,,,10.0,,,,339.0,,,,,,,,,,,,0.622,27.8,,,basketball-reference
2025-26,Regular Season,,Keyonte George,,,,10.0,,,,339.0,,,,,,,,,,,,0.598,26.7,,,basketball-reference
2025-26,Regular Season,,Royce O'Neale,,,,11.0,,,,338.0,,,,,,,,,,,,0.65,15.6,,,basketball-reference
2025-26,Regular Season,,Donovan Mitchell,,,,10.0,,,,338.0,,,,,,,,,,,,0.655,31.3,,,basketball-reference
2025-26,Regular Season,,Desmond Bane,,,,11.0,,,,337.0,,,,,,,,,,,,0.527,22.2,,,basketball-reference
2025-26,Regular Season,,Toumani Camara,,,,10.0,,,,337.0,,,,,,,,,,,,0.506,15.6,,,basketball-reference
2025-26,Regular Season,,Jrue Holiday,,,,10.0,,,,335.0,,,,,,,,,,,,0.551,21.5,,,basketball-reference
