season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Devin Booker,,,,9.0,,,,331.0,,,,,,,,,,,,0.638,31.3,,,basketball-reference
2025-26,Regular Season,,Tyrese Maxey,,,,8.0,,,,330.0,,,,,,,,,,,,0.63,29.4,,,basketball-reference
2025-26,Regular Season,,Rui Hachimura,,,,9.0,,,,323.0,,,,,,,,,,,,0.699,15.9,,,basketball-reference
2025-26,Regular Season,,Shai Gilgeous-Alexander,,,,9.0,,,,318.0,,,,,,,,,,,,0.638,34.3,,,basketball-reference
2025-26,Regular Season,,Grayson Allen,,,,9.0,,,,313.0,,,,,,,,,,,,0.578,19.4,,,basketball-reference
2025-26,Regular Season,,VJ Edgecombe,,,,8.0,,,,309.0,,,,,,,,,,,,0.55,19.0,,,basketball-reference
2025-26,Regular Season,,Kelly Oubre Jr.,,,,8.0,,,,299.0,,,,,,,,,,,,0.654,17.6,,,basketball-reference
2025-26,Regular Season,,Lauri Markkanen,,,,8.0,,,,297.0,,,,,,,,,,,,0.608,29.3,,,basketball-reference
2025-26,Regular Season,,DeMar DeRozan,,,,8.0,,,,295.0,,,,,,,,,,,,0.56,22.8,,,basketball-reference
2025-26,Regular Season,,Cade Cunningham,,,,8.0,,,,289.0,,,,,,,,,,,,0.535,29.8,,,basketball-reference
2025-26,Regular Season,,Payton Pritchard,,,,9.0,,,,287.0,,,,,,,,,,,,0.526,21.1,,,basketball-reference
2025-26,Regular Season,,Derrick White,,,,9.0,,,,287.0,,,,,,,,,,,,0.441,22.7,,,basketball-reference
2025-26,Regular Season,,Royce O'Neale,,,,9.0,,,,286.0,,,,,,,,,,,,0.628,15.5,,,basketball-reference
2025-26,Regular Season,,Pascal Siakam,,,,8.0,,,,285.0,,,,,,,,,,,,0.519,31.0,,,basketball-reference
2025-26,Regular Season,,Trey Murphy III,,,,8.0,,,,284.0,,,,,,,,,,,,0.52,18.2,,,basketball-reference
2025-26,Regular Season,,Mikal Bridges,,,,8.0,,,,281.0,,,,,,,,,,,,0.666,15.4,,,basketball-reference
2025-26,Regular Season,,Jaylen Brown,,,,9.0,,,,280.0,,,,,,,,,,,,0.633,34.7,,,basketball-reference
2025-26,Regular Season,,Julius Randle,,,,8.0,,,,280.0,,,,,,,,,,,,0.68,27.6,,,basketball-reference
2025-26,Regular Season,,Jonathan Kuminga,,,,9.0,,,,277.0,,,,,,,,,,,,0.622,23.2,,,basketball-reference
2025-26,Regular Season,,Keyonte George,,,,8.0,,,,277.0,,,,,,,,,,,,0.589,26.8,,,basketball-reference
2025-26,Regular Season,,P.J. Washington,,,,8.0,,,,277.0,,,,,,,,,,,,0.524,22.0,,,basketball-reference
2025-26,Regular Season,,Paolo Banchero,,,,8.0,,,,275.0,,,,,,,,,,,,0.558,27.9,,,basketball-reference
2025-26,Regular Season,,Jake LaRavia,,,,9.0,,,,274.0,,,,,,,,,,,,0.641,15.1,,,basketball-reference
2025-26,Regular Season,,Franz Wagner,,,,8.0,,,,274.0,,,,,,,,,,,,0.6,24.6,,,basketball-reference
2025-26,Regular Season,,Evan Mobley,,,,8.0,,,,273.0,,,,,,,,,,,,0.557,25.0,,,basketball-reference
2025-26,Regular Season,,Jalen Brunson,,,,8.0,,,,272.0,,,,,,,,,,,,0.577,32.3,,,basketball-reference
2025-26,Regular Season,,OG Anunoby,,,,8.0,,,,271.0,,,,,,,,,,,,0.612,20.1,,,basketball-reference
2025-26,Regular Season,,Isaiah Hartenstein,,,,9.0,,,,270.0,,,,,,,,,,,,0.655,14.6,,,basketball-reference
2025-26,Regular Season,,Miles Bridges,,,,8.0,,,,269.0,,,,,,,,,,,,0.58,24.2,,,basketball-reference
2025-26,Regular Season,,Deni Avdija,,,,8.0,,,,267.0,,,,,,,,,,,,0.615,27.9,,,basketball-reference
2025-26,Regular Season,,Karl-Anthony Towns,,,,8.0,,,,265.0,,,,,,,,,,,,0.572,25.1,,,basketball-reference
2025-26,Regular Season,,Austin Reaves,,,,7.0,,,,265.0,,,,,,,,,,,,0.654,30.8,,,basketball-reference
2025-26,Regular Season,,Brandin Podziemski,,,,9.0,,,,264.0,,,,,,,,,,,,0.589,17.4,,,basketball-reference
2025-26,Regular Season,,Toumani Camara,,,,8.0,,,,264.0,,,,,,,,,,,,0.538,15.5,,,basketball-reference
2025-26,Regular Season,,Cooper Flagg,,,,8.0,,,,264.0,,,,,,,,,,,,0.502,21.1,,,basketball-reference
2025-26,Regular Season,,Jrue Holiday,,,,8.0,,,,264.0,,,,,,,,,,,,0.582,21.4,,,basketball-reference
2025-26,Regular Season,,Dennis Schröder,,,,8.0,,,,262.0,,,,,,,,,,,,0.53,22.1,,,basketball-reference
2025-26,Regular Season,,Brandon Ingram,,,,8.0,,,,261.0,,,,,,,,,,,,0.63,25.5,,,basketball-reference
2025-26,Regular Season,,Dyson Daniels,,,,8.0,,,,260.0,,,,,,,,,,,,0.533,14.8,,,basketball-reference
2025-26,Regular Season,,Jaden McDaniels,,,,8.0,,,,260.0,,,,,,,,,,,,0.63,21.5,,,basketball-reference
2025-26,Regular Season,,Jaren Jackson Jr.,,,,9.0,,,,259.0,,,,,,,,,,,,0.631,22.0,,,basketball-reference
2025-26,Regular Season,,RJ Barrett,,,,8.0,,,,259.0,,,,,,,,,,,,0.651,23.3,,,basketball-reference
2025-26,Regular Season,,Zach LaVine,,,,7.0,,,,259.0,,,,,,,,,,,,0.664,26.0,,,basketball-reference
2025-26,Regular Season,,Scottie Barnes,,,,8.0,,,,258.0,,,,,,,,,,,,0.603,25.3,,,basketball-reference
2025-26,Regular Season,,Duncan Robinson,,,,8.0,,,,258.0,,,,,,,,,,,,0.606,12.2,,,basketball-reference
2025-26,Regular Season,,Alperen Şengün,,,,7.0,,,,257.0,,,,,,,,,,,,0.58,25.9,,,basketball-reference
2025-26,Regular Season,,Rudy Gobert,,,,8.0,,,,256.0,,,,,,,,,,,,0.714,11.4,,,basketball-reference
2025-26,Regular Season,,Aaron Nesmith,,,,8.0,,,,256.0,,,,,,,,,,,,0.472,20.7,,,basketball-reference
2025-26,Regular Season,,Quentin Grimes,,,,8.0,,,,253.0,,,,,,,,,,,,0.619,23.4,,,basketball-reference
2025-26,Regular Season,,Deandre Ayton,,,,8.0,,,,252.0,,,,,,,,,,,,0.657,21.1,,,basketball-reference
2025-26,Regular Season,,Andrew Wiggins,,,,8.0,,,,252.0,,,,,,,,,,,,0.606,21.1,,,basketball-reference
2025-26,Regular Season,,Jimmy Butler,,,,8.0,,,,249.0,,,,,,,,,,,,0.634,22.8,,,basketball-reference
2025-26,Regular Season,,Stephen Curry,,,,8.0,,,,249.0,,,,,,,,,,,,0.626,33.2,,,basketball-reference
2025-26,Regular Season,,Aaron Wiggins,,,,9.0,,,,248.0,,,,,,,,,,,,0.578,21.6,,,basketball-reference
2025-26,Regular Season,,Nickeil Alexander-Walker,,,,8.0,,,,248.0,,,,,,,,,,,,0.562,24.3,,,basketball-reference
2025-26,Regular Season,,Donte DiVincenzo,,,,8.0,,,,248.0,,,,,,,,,,,,0.637,19.8,,,basketball-reference
2025-26,Regular Season,,Ryan Rollins,,,,8.0,,,,248.0,,,,,,,,,,,,0.62,21.9,,,basketball-reference
2025-26,Regular Season,,Kevin Durant,,,,7.0,,,,248.0,,,,,,,,,,,,0.608,25.8,,,basketball-reference
2025-26,Regular Season,,Jarace Walker,,,,8.0,,,,247.0,,,,,,,,,,,,0.431,19.4,,,basketball-reference
2025-26,Regular Season,,Kyshawn George,,,,8.0,,,,246.0,,,,,,,,,,,,0.649,21.8,,,basketball-reference
2025-26,Regular Season,,Nikola Jokić,,,,7.0,,,,246.0,,,,,,,,,,,,0.701,23.8,,,basketball-reference
2025-26,Regular Season,,Ajay Mitchell,,,,9.0,,,,244.0,,,,,,,,,,,,0.564,26.4,,,basketball-reference
2025-26,Regular Season,,Immanuel Quickley,,,,8.0,,,,244.0,,,,,,,,,,,,0.507,20.1,,,basketball-reference
