team,player_id,player_name,position,shoots,height,weight,birthdate
ATL,1631210,Jacob Toppin,F,,6-9,200,"MAY 08, 2000"
ATL,1630552,Jalen Johnson,F,,6-8,219,"DEC 18, 2001"
ATL,1630811,Keaton Wallace,G,,6-3,185,"FEB 26, 1999"
ATL,1628379,Luke Kennard,G,,6-5,206,"JUN 24, 1996"
ATL,1630700,Dyson Daniels,G,,6-7,199,"MAR 17, 2003"
ATL,1629638,Nickeil Alexander-Walker,G,,6-5,205,"SEP 02, 1998"
ATL,204001,Kristaps Porziņģis,F-C,,7-2,240,"AUG 02, 1995"
ATL,1642258,Zaccharie Risacher,F,,6-8,200,"APR 08, 2005"
ATL,1629027,Trae Young,G,,6-2,164,"SEP 19, 1998"
ATL,1642368,N'Faly Dante,C,,6-11,230,"OCT 19, 2001"
ATL,1642854,Asa Newell,F,,6-10,220,"OCT 05, 2005"
ATL,1630168,Onyeka Okongwu,F-C,,6-10,240,"DEC 11, 2000"
ATL,1631243,Mouhamed Gueye,F,,6-11,210,"NOV 09, 2002"
ATL,1642365,Nikola Đurišić,G,,6-8,214,"FEB 23, 2004"
ATL,1630249,Vít Krejčí,G,,6-8,195,"JUN 19, 2000"
ATL,1642947,Eli John Ndiaye,F,,6-8,209,"JUN 26, 2004"
ATL,1631216,Caleb Houstan,G,,6-8,205,"JAN 09, 2003"
BOS,1628369,Jayson Tatum,F-G,,6-8,210,"MAR 03, 1998"
BOS,1629014,Anfernee Simons,G,,6-3,200,"JUN 08, 1999"
BOS,1627759,Jaylen Brown,G-F,,6-6,223,"OCT 24, 1996"
BOS,1631169,Josh Minott,F,,6-8,205,"NOV 25, 2002"
BOS,1628401,Derrick White,G,,6-4,190,"JUL 02, 1994"
BOS,1630202,Payton Pritchard,G,,6-1,195,"JAN 28, 1998"
BOS,1631199,Ron Harper Jr.,G-F,,6-5,233,"APR 12, 2000"
BOS,1630214,Xavier Tillman,F,,6-8,245,"JAN 12, 1999"
BOS,1641775,Jordan Walsh,G,,6-6,205,"MAR 03, 2004"
BOS,1642864,Hugo González,G,,6-6,200,"FEB 05, 2006"
BOS,1630573,Sam Hauser,F,,6-7,217,"DEC 08, 1997"
BOS,1642917,Max Shulga,G,,6-4,210,"JUN 25, 2002"
BOS,1630568,Luka Garza,C,,6-10,243,"DEC 27, 1998"
BOS,1631248,Baylor Scheierman,G,,6-6,205,"SEP 26, 2000"
BOS,1642873,Amari Williams,F-C,,6-11,250,"JAN 28, 2002"
BOS,1629674,Neemias Queta,C,,7-0,248,"JUL 13, 1999"
BOS,1628449,Chris Boucher,F,,6-8,200,"JAN 11, 1993"
CLE,1629622,Max Strus,G-F,,6-5,215,"MAR 28, 1996"
CLE,1628366,Lonzo Ball,G,,6-5,190,"OCT 27, 1997"
CLE,1628418,Thomas Bryant,C-F,,6-9,248,"JUL 31, 1997"
CLE,1630596,Evan Mobley,C,,6-11,215,"JUN 18, 2001"
CLE,1630241,Sam Merrill,G,,6-4,205,"MAY 15, 1996"
CLE,1641753,Chris Livingston,F,,6-6,220,"OCT 15, 2003"
CLE,1641854,Craig Porter Jr.,G,,6-1,180,"FEB 26, 2000"
CLE,1629636,Darius Garland,G,,6-1,192,"JAN 26, 2000"
CLE,1629631,De'Andre Hunter,F-G,,6-7,221,"DEC 02, 1997"
CLE,1642281,Jaylon Tyson,G-F,,6-6,215,"DEC 02, 2002"
CLE,1626204,Larry Nance Jr.,F-C,,6-6,245,"JAN 01, 1993"
CLE,1642878,Tyrese Proctor,G,,6-4,185,"APR 01, 2004"
CLE,1628386,Jarrett Allen,C,,6-9,243,"APR 21, 1998"
CLE,1629731,Dean Wade,F-C,,6-9,228,"NOV 20, 1996"
CLE,1631247,Luke Travers,F,,6-6,207,"SEP 03, 2001"
CLE,1641772,Nae'Qwan Tomlin,F,,6-8,210,"DEC 19, 2000"
CLE,1628378,Donovan Mitchell,G,,6-2,215,"SEP 07, 1996"
NOP,1642847,Jeremiah Fears,G,,6-3,190,"OCT 14, 2006"
NOP,1629627,Zion Williamson,F,,6-6,284,"JUL 06, 2000"
NOP,1630529,Herbert Jones,F,,6-7,206,"OCT 06, 1998"
NOP,1629673,Jordan Poole,G,,6-4,194,"JUN 19, 1999"
NOP,1630621,Hunter Dickinson,C,,7-1,255,"NOV 25, 2000"
NOP,1627749,Dejounte Murray,G,,6-4,180,"SEP 19, 1996"
NOP,201599,DeAndre Jordan,C,,6-11,265,"JUL 21, 1988"
NOP,1631121,Bryce McGowens,G,,6-6,190,"NOV 08, 2002"
NOP,1642877,Micah Peavy,G-F,,6-7,215,"JUL 16, 2001"
NOP,1630631,Jose Alvarado,G,,6-0,179,"APR 12, 1998"
NOP,1631255,Karlo Matković,F-C,,6-10,231,"MAR 30, 2001"
NOP,1642274,Yves Missi,C,,6-11,235,"MAY 14, 2004"
NOP,1642852,Derik Queen,C,,6-9,250,"DEC 27, 2004"
NOP,1641725,Trey Alexander,G,,6-5,185,"MAY 02, 2003"
NOP,1641722,Jordan Hawkins,G,,6-5,190,"APR 29, 2002"
NOP,1630530,Trey Murphy III,F,,6-8,206,"JUN 18, 2000"
NOP,1630180,Saddiq Bey,G-F,,6-8,215,"APR 09, 1999"
NOP,1626172,Kevon Looney,F,,6-9,222,"FEB 06, 1996"
CHI,1629632,Coby White,G,,6-4,195,"FEB 16, 2000"
CHI,1642280,Trentyn Flowers,F,,6-9,185,"MAR 08, 2005"
CHI,1641801,Emanuel Miller,F,,6-5,215,"JUN 19, 2000"
CHI,1630581,Josh Giddey,G,,6-7,216,"OCT 10, 2002"
CHI,1628975,Jevon Carter,G,,6-0,200,"SEP 14, 1995"
CHI,1631207,Dalen Terry,F,,6-6,195,"JUL 12, 2002"
CHI,202696,Nikola Vučević,C,,6-9,260,"OCT 24, 1990"
CHI,1630245,Ayo Dosunmu,G,,6-4,200,"JAN 17, 2000"
CHI,1628380,Zach Collins,F-C,,6-9,250,"NOV 19, 1997"
CHI,1628989,Kevin Huerter,G-F,,6-6,198,"AUG 27, 1998"
CHI,1641824,Matas Buzelis,F,,6-8,209,"OCT 13, 2004"
CHI,1641763,Julian Phillips,F,,6-6,198,"NOV 05, 2003"
CHI,1642855,Noa Essengue,F,,6-8,200,"DEC 18, 2006"
CHI,1630188,Jalen Smith,F-C,,6-8,215,"MAR 16, 2000"
CHI,1630200,Tre Jones,G,,6-1,185,"JAN 08, 2000"
CHI,1630171,Isaac Okoro,F-G,,6-4,225,"JAN 26, 2001"
CHI,1630172,Patrick Williams,F,,6-6,215,"AUG 26, 2001"
CHI,1642950,Lachlan Olbrich,C,,6-8,236,"DEC 30, 2003"
DAL,203957,Danté Exum,G,,6-5,214,"JUL 13, 1995"
DAL,1631108,Max Christie,G,,6-5,190,"FEB 10, 2003"
DAL,1630702,Jaden Hardy,G,,6-3,198,"JUL 05, 2002"
DAL,1641726,Dereck Lively II,C,,7-1,230,"FEB 12, 2004"
DAL,203076,Anthony Davis,F-C,,6-10,253,"MAR 11, 1993"
DAL,1626156,D'Angelo Russell,G,,6-3,193,"FEB 23, 1996"
DAL,203939,Dwight Powell,F-C,,6-10,240,"JUL 20, 1991"
DAL,1642948,Ryan Nembhard,G,,5-11,180,"MAR 10, 2003"
DAL,1630314,Brandon Williams,G,,6-1,190,"NOV 22, 1999"
DAL,202681,Kyrie Irving,G,,6-2,195,"MAR 23, 1992"
DAL,1630230,Naji Marshall,F,,6-6,220,"JAN 24, 1998"
DAL,1642939,Miles Kelly,G,,6-4,190,"JAN 26, 2003"
DAL,1628997,Caleb Martin,F,,6-5,205,"SEP 28, 1995"
DAL,1629655,Daniel Gafford,F-C,,6-10,265,"OCT 01, 1998"
DAL,1629023,P.J. Washington,F,,6-7,230,"AUG 23, 1998"
DAL,1630619,Moussa Cisse,C,,6-11,220,"SEP 10, 2002"
DAL,202691,Klay Thompson,G,,6-5,220,"FEB 08, 1990"
DAL,1642843,Cooper Flagg,F,,6-9,205,"DEC 21, 2006"
DEN,1631128,Christian Braun,G,,6-6,220,"APR 17, 2001"
DEN,1642938,Curtis Jones,G,,6-3,195,"OCT 04, 2001"
DEN,1631124,Julian Strawther,G,,6-6,205,"APR 18, 2002"
DEN,1641816,Hunter Tyson,F,,6-8,215,"JUN 13, 2000"
DEN,1642926,Tamar Bates,G,,6-4,195,"FEB 21, 2003"
DEN,1631212,Peyton Watson,G,,6-8,200,"SEP 11, 2002"
DEN,203501,Tim Hardaway Jr.,G-F,,6-5,205,"MAR 16, 1992"
DEN,1628971,Bruce Brown,G-F,,6-4,202,"AUG 15, 1996"
DEN,1641747,DaRon Holmes II,F,,6-9,225,"AUG 15, 2002"
DEN,203999,Nikola Jokić,C,,6-11,284,"FEB 19, 1995"
DEN,202685,Jonas Valančiūnas,C,,6-11,265,"MAY 06, 1992"
DEN,1642461,Spencer Jones,F,,6-7,225,"JUN 14, 2001"
DEN,1630192,Zeke Nnaji,F-C,,6-10,240,"JAN 09, 2001"
DEN,1629661,Cameron Johnson,F,,6-8,210,"MAR 03, 1996"
DEN,1629618,Jalen Pickett,G,,6-2,202,"OCT 22, 1999"
DEN,1627750,Jamal Murray,G,,6-4,215,"FEB 23, 1997"
DEN,203932,Aaron Gordon,F,,6-8,235,"SEP 16, 1995"
GSW,1627780,Gary Payton II,G,,6-2,195,"DEC 01, 1992"
GSW,1630228,Jonathan Kuminga,F,,6-7,225,"OCT 06, 2002"
GSW,1641764,Brandin Podziemski,G,,6-4,205,"FEB 25, 2003"
GSW,1642954,Will Richard,G,,6-3,206,"DEC 24, 2002"
GSW,1630541,Moses Moody,G,,6-5,211,"MAY 31, 2002"
GSW,1627741,Buddy Hield,G,,6-4,220,"DEC 17, 1992"
GSW,1629001,De'Anthony Melton,G,,6-2,200,"MAY 28, 1998"
GSW,202710,Jimmy Butler III,F,,6-6,230,"SEP 14, 1989"
