team,player_id,player_name,position,shoots,height,weight,birthdate
ATL,1631210,Jacob Toppin,F,,6-8,200,"MAY 08, 2000"
ATL,1630552,Jalen Johnson,F,,6-8,219,"DEC 18, 2001"
ATL,1630811,Keaton Wallace,G,,6-3,185,"FEB 26, 1999"
ATL,1627747,Caris LeVert,G,,6-6,205,"AUG 25, 1994"
ATL,1641723,Kobe Bufkin,G,,6-4,195,"SEP 21, 2003"
ATL,1630700,Dyson Daniels,G,,6-7,199,"MAR 17, 2003"
ATL,1642258,Zaccharie Risacher,F,,6-8,200,"APR 08, 2005"
ATL,1629027,Trae Young,G,,6-1,164,"SEP 19, 1998"
ATL,1629611,Terance Mann,G-F,,6-5,215,"OCT 18, 1996"
ATL,203991,Clint Capela,C,,6-10,256,"MAY 18, 1994"
ATL,1630168,Onyeka Okongwu,F-C,,6-10,240,"DEC 11, 2000"
ATL,1631243,Mouhamed Gueye,F,,6-10,210,"NOV 09, 2002"
ATL,1627777,Georges Niang,F,,6-7,230,"JUN 17, 1993"
ATL,1626204,Larry Nance Jr.,F-C,,6-8,245,"JAN 01, 1993"
ATL,1629726,Garrison Mathews,G,,6-6,215,"OCT 24, 1996"
ATL,1631230,Dominick Barlow,F,,6-8,215,"MAY 26, 2003"
ATL,1630249,Vít Krejčí,G,,6-8,195,"JUN 19, 2000"
ATL,1631342,Daeqwon Plowden,G-F,,6-6,216,"AUG 29, 1998"
BOS,1628369,Jayson Tatum,F-G,,6-8,210,"MAR 03, 1998"
BOS,1641936,Miles Norris,F,,6-7,220,"APR 15, 2000"
BOS,201950,Jrue Holiday,G,,6-4,205,"JUN 12, 1990"
BOS,1627759,Jaylen Brown,G-F,,6-6,223,"OCT 24, 1996"
BOS,204001,Kristaps Porziņģis,F-C,,7-2,240,"AUG 02, 1995"
BOS,1628401,Derrick White,G,,6-4,190,"JUL 02, 1994"
BOS,1630202,Payton Pritchard,G,,6-1,195,"JAN 28, 1998"
BOS,1628470,Torrey Craig,F,,6-5,221,"DEC 19, 1990"
BOS,1641809,Drew Peterson,F,,6-9,205,"NOV 09, 1999"
BOS,1631120,JD Davison,G,,6-1,195,"OCT 03, 2002"
BOS,1630214,Xavier Tillman,F,,6-7,245,"JAN 12, 1999"
BOS,1641775,Jordan Walsh,G,,6-6,205,"MAR 03, 2004"
BOS,1630573,Sam Hauser,F,,6-7,217,"DEC 08, 1997"
