away_score,away_team,away_team_id,date,event_id,home_score,home_team,home_team_id,status
0,Houston Rockets,10,2025-12-20T22:00Z,401810241,0,Denver Nuggets,7,Scheduled
0,Dallas Mavericks,6,2025-12-21T00:00Z,401810242,0,Philadelphia 76ers,20,Scheduled
0,Boston Celtics,2,2025-12-21T00:00Z,401810243,0,Toronto Raptors,28,Scheduled
0,Indiana Pacers,11,2025-12-21T00:00Z,401810244,0,New Orleans Pelicans,3,Scheduled
0,Charlotte Hornets,30,2025-12-21T00:30Z,401810245,0,Detroit Pistons,8,Scheduled
0,Washington Wizards,27,2025-12-21T01:00Z,401810246,0,Memphis Grizzlies,29,Scheduled
0,Phoenix Suns,21,2025-12-21T01:30Z,401810247,0,Golden State Warriors,9,Scheduled
0,Orlando Magic,19,2025-12-21T02:30Z,401810248,0,Utah Jazz,26,Scheduled
0,Portland Trail Blazers,22,2025-12-21T03:00Z,401810249,0,Sacramento Kings,23,Scheduled
0,Los Angeles Lakers,13,2025-12-21T03:30Z,401810250,0,LA Clippers,12,Scheduled
