team,player_id,player_name,position,shoots,height,weight,birthdate
ARI,5084939,Isaiah Adams,G,,76.0,315.0,2000-07-21T07:00Z
ARI,15035,Kelvin Beachum,OT,,75.0,308.0,1989-06-08T07:00Z
ARI,2578570,Jacoby Brissett,QB,,76.0,235.0,1992-12-11T08:00Z
ARI,4692835,Jalen Brooks,WR,,74.0,205.0,2000-05-07T07:00Z
ARI,3128412,Evan Brown,G,,75.0,320.0,1996-09-16T07:00Z
ARI,2971281,Pharaoh Brown,TE,,77.0,246.0,1994-05-04T07:00Z
ARI,4240657,Michael Carter,RB,,68.0,201.0,1999-05-07T07:00Z
ARI,4431214,Hayden Conner,G,,78.0,315.0,2002-04-26T07:00Z
ARI,3914151,Josiah Deguara,TE,,74.0,240.0,1997-02-14T08:00Z
ARI,4362478,Emari Demercado,RB,,69.0,215.0,1999-01-20T08:00Z
ARI,3886633,Hjalte Froholdt,C,,77.0,310.0,1996-08-20T07:00Z
ARI,4429782,Josh Fryar,OT,,77.0,320.0,2002-02-12T08:00Z
ARI,4367199,Jon Gaines II,G,,76.0,315.0,1999-05-24T07:00Z
ARI,4432708,Marvin Harrison Jr.,WR,,75.0,220.0,2002-08-11T07:00Z
ARI,4426844,Elijah Higgins,TE,,75.0,245.0,2000-10-27T07:00Z
ARI,4250935,Demontrey Jacobs,OT,,78.0,315.0,1998-11-22T08:00Z
ARI,4428991,Paris Johnson Jr.,OT,,78.0,325.0,2001-07-03T07:00Z
ARI,4362103,Christian Jones,OT,,77.0,320.0,2000-05-12T07:00Z
ARI,4431431,Corey Kiner,RB,,69.0,210.0,2002-01-21T08:00Z
ARI,4361307,Trey McBride,TE,,76.0,246.0,1999-11-22T08:00Z
ARI,4428512,Kedon Slovis,QB,,74.0,223.0,2001-04-11T07:00Z
ARI,4428811,Xavier Weaver,WR,,73.0,185.0,2000-10-12T07:00Z
ARI,4360761,Michael Wilson,WR,,74.0,213.0,2000-02-23T08:00Z
ARI,3127287,Budda Baker,S,,70.0,195.0,1996-01-10T08:00Z
ARI,4241987,Baron Browning,LB,,75.0,255.0,1999-02-19T08:00Z
ARI,4428996,Jordan Burch,LB,,76.0,280.0,2001-10-10T07:00Z
ARI,4432668,Denzel Burke,CB,,71.0,190.0,2002-11-10T08:00Z
ARI,11284,Calais Campbell,DT,,80.0,315.0,1986-09-01T07:00Z
ARI,4426923,Kei'Trel Clark,CB,,70.0,181.0,2001-03-19T08:00Z
ARI,4244606,Zaven Collins,LB,,76.0,270.0,1999-05-19T07:00Z
ARI,4430821,Kitan Crawford,S,,71.0,202.0,2001-12-31T08:00Z
ARI,3917142,Akeem Davis-Gaither,LB,,74.0,238.0,1997-09-21T07:00Z
ARI,4261606,Darren Hall,CB,,72.0,195.0,2000-05-02T07:00Z
ARI,4685408,Will Johnson,CB,,74.0,200.0,2003-03-29T08:00Z
ARI,4360203,Elijah Jones,CB,,73.0,185.0,2000-01-08T08:00Z
ARI,4698113,Max Melton,CB,,71.0,187.0,2002-04-15T07:00Z
ARI,4361421,PJ Mustipher,DT,,76.0,320.0,1999-11-10T08:00Z
ARI,4685503,Walter Nolen III,DT,,76.0,300.0,2003-10-14T07:00Z
ARI,4429111,BJ Ojulari,LB,,74.0,248.0,2002-04-05T08:00Z
ARI,4567219,Owen Pappoe,LB,,72.0,230.0,2000-09-29T07:00Z
ARI,4569480,Darius Robinson,DE,,77.0,285.0,2001-09-13T07:00Z
ARI,4429071,Cody Simon,LB,,74.0,230.0,2002-04-01T08:00Z
ARI,4362225,Dante Stills,DT,,76.0,300.0,1999-12-14T08:00Z
ARI,3693166,Josh Sweat,LB,,77.0,265.0,1997-03-29T08:00Z
ARI,4428633,Dadrion Taylor-Demerson,S,,70.0,197.0,2001-01-20T08:00Z
ARI,4043089,Jalen Thompson,S,,71.0,190.0,1998-07-18T07:00Z
ARI,4379414,Channing Tindall,LB,,74.0,232.0,2000-03-28T08:00Z
ARI,2979860,Dalvin Tomlinson,DT,,75.0,335.0,1994-02-28T08:00Z
ARI,4568506,Garrett Williams,CB,,70.0,192.0,2001-06-01T07:00Z
ARI,15241,Aaron Brewer,LS,,77.0,232.0,1990-07-05T07:00Z
ARI,3043237,Matt Haack,P,,72.0,205.0,1994-07-25T07:00Z
ARI,4363538,Chad Ryland,PK,,72.0,195.0,1999-10-15T07:00Z
ARI,3886809,Andre Baccellia,WR,,70.0,180.0,1997-01-07T08:00Z
ARI,4429275,Trey Benson,RB,,72.0,220.0,2002-07-23T07:00Z
ARI,4240824,Joey Blount,S,,73.0,195.0,1998-11-16T08:00Z
ARI,3116449,L.J. Collier,DE,,74.0,300.0,1995-09-12T07:00Z
ARI,3045147,James Conner,RB,,73.0,233.0,1995-05-05T07:00Z
ARI,4037235,Greg Dortch,WR,,67.0,180.0,1998-05-29T07:00Z
ARI,4360739,Simi Fehoko,WR,,76.0,225.0,1997-11-05T08:00Z
ARI,4045180,Blake Gillikin,P,,74.0,196.0,1998-01-21T08:00Z
ARI,3042516,Will Hernandez,G,,74.0,332.0,1995-09-02T07:00Z
ARI,3116746,Justin Jones,DT,,75.0,300.0,1996-08-28T07:00Z
ARI,3059722,Zay Jones,WR,,74.0,200.0,1995-03-30T08:00Z
ARI,4427728,Bam Knight,RB,,71.0,210.0,2001-04-11T07:00Z
ARI,3932886,Sean Murphy-Bunting,CB,,72.0,195.0,1997-06-19T07:00Z
ARI,3917315,Kyler Murray,QB,,70.0,207.0,1997-08-07T07:00Z
ARI,3117922,Bilal Nichols,DT,,75.0,300.0,1996-09-14T07:00Z
ARI,4696700,Tip Reiman,TE,,77.0,271.0,2001-09-17T07:00Z
ARI,4243366,J.J. Russell,LB,,73.0,225.0,1998-10-12T07:00Z
ARI,4428458,Valentin Senn,OT,,79.0,310.0,2000-04-23T07:00Z
ARI,4363408,Starling Thomas V,CB,,70.0,194.0,2000-01-25T08:00Z
ARI,4259324,Travis Vokolek,TE,,78.0,260.0,1998-06-04T07:00Z
ARI,4040726,Jonah Williams,OT,,77.0,312.0,1997-11-17T08:00Z
ARI,4040983,Mack Wilson Sr.,LB,,73.0,240.0,1998-02-14T08:00Z
ARI,4426646,Jared Bartlett,LB,,74.0,237.0,2001-04-01T08:00Z
ARI,4374196,Wyatt Bowles,G,,77.0,300.0,2000-01-28T08:00Z
ARI,4240826,Elliott Brown,LB,,77.0,245.0,1998-02-02T08:00Z
ARI,4240619,Zachary Carter,DT,,76.0,290.0,1999-04-07T07:00Z
ARI,4429456,Tyler Cooper,G,,77.0,302.0,2001-04-20T07:00Z
ARI,4374089,Marques Cox,OT,,77.0,312.0,1999-12-28T08:00Z
ARI,4426435,Jaden Davis,CB,,70.0,182.0,2001-02-18T08:00Z
ARI,4577735,Denzel Daxon,DT,,74.0,304.0,1999-03-27T08:00Z
ARI,2574630,Jeff Driskel,QB,,76.0,231.0,1993-04-23T07:00Z
ARI,4432705,Bryson Green,WR,,73.0,210.0,2002-12-30T08:00Z
ARI,4374033,Jermar Jefferson,RB,,70.0,212.0,2000-04-15T07:00Z
ARI,4361272,Eku Leota,LB,,76.0,257.0,1999-05-11T07:00Z
