away_score,away_team,away_team_id,date,event_id,home_score,home_team,home_team_id,status
7,Jacksonville Jaguars,30,2025-12-21T21:05Z,401772913,7,Denver Broncos,7,In Progress
3,Atlanta Falcons,1,2025-12-21T21:05Z,401772914,13,Arizona Cardinals,22,In Progress
3,Pittsburgh Steelers,23,2025-12-21T21:25Z,401772806,0,Detroit Lions,8,In Progress
0,Las Vegas Raiders,13,2025-12-21T21:25Z,401772805,7,Houston Texans,34,In Progress
23,Buffalo Bills,2,2025-12-21T18:00Z,401772802,20,Cleveland Browns,5,Final
34,Los Angeles Chargers,24,2025-12-21T18:00Z,401772910,17,Dallas Cowboys,6,Final
9,Kansas City Chiefs,12,2025-12-21T18:00Z,401772803,26,Tennessee Titans,10,Final
45,Cincinnati Bengals,4,2025-12-21T18:00Z,401772934,21,Miami Dolphins,15,Final
6,New York Jets,20,2025-12-21T18:00Z,401772801,29,New Orleans Saints,18,Final
16,Minnesota Vikings,16,2025-12-21T18:00Z,401772911,13,New York Giants,19,Final
20,Tampa Bay Buccaneers,27,2025-12-21T18:00Z,401772912,23,Carolina Panthers,29,Final
0,New England Patriots,17,2025-12-22T01:20Z,401772804,0,Baltimore Ravens,33,Scheduled
