Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Tm,Unnamed: 4_level_0 Pos,Unnamed: 5_level_0 GP,Corsi (EV) CF,Corsi (EV) CA,Corsi (EV) CF%,Corsi (EV) CF% rel,Fenwick (EV) FF,Fenwick (EV) FA,Fenwick (EV) FF%,Fenwick (EV) FF% rel,PDO () oiSH%,PDO () oiSV%,Unnamed: 16_level_0 PDO,Zone Starts (EV) oZS%,Zone Starts (EV) dZS%,Unnamed: 19_level_0 TOI/60,Unnamed: 20_level_0 TOI(EV),Unnamed: 21_level_0 TK,Unnamed: 22_level_0 GV,Unnamed: 23_level_0 E+/-,Unnamed: 24_level_0 SAtt.,Unnamed: 25_level_0 Thru%
1,Rodrigo Abols,30,PHI,C,10,86,90,48.9,0.4,57,62,47.9,-1.0,0.0,90.2,90.2,65.0,35.0,9:09,8:59,3,4,-1.6,24,45.8
2,Noel Acciari,34,PIT,C,13,121,124,49.4,3.7,81,80,50.3,4.6,12.7,93.1,105.8,8.3,91.7,12:56,10:29,2,1,0.9,19,57.9
3,Andrew Agozzino,35,UTA,LW,2,5,14,26.3,-22.1,5,8,38.5,-12.5,0.0,100.0,100.0,50.0,50.0,6:08,6:08,1,1,-0.4,1,0.0
4,Jack Ahcan,28,COL,D,6,89,58,60.5,13.7,64,41,61.0,14.3,11.4,95.8,107.2,44.1,55.9,11:21,11:17,0,2,2.4,8,25.0
5,Sebastian Aho,28,CAR,F,16,300,202,59.8,2.5,214,145,59.6,3.2,10.6,86.0,96.6,61.0,39.0,19:58,14:34,8,21,1.7,77,48.1
6,Michael Amadio,29,OTT,C,17,233,182,56.1,7.9,170,116,59.4,10.5,11.3,86.1,97.4,37.0,63.0,14:56,14:22,11,15,3.0,36,52.8
7,Nils Ãman,25,VAN,C,2,15,22,40.5,-8.2,12,7,63.2,17.6,16.7,75.0,91.7,50.0,50.0,8:40,8:40,0,1,0.3,3,33.3
8,Josh Anderson,31,MTL,RW,16,156,206,43.1,-6.0,103,142,42.0,-8.6,10.3,85.7,96.0,16.9,83.1,15:04,11:56,1,7,-3.3,32,53.1
9,Michael Anderson,26,LAK,D,17,268,244,52.3,-0.8,182,174,51.1,-2.1,10.7,92.2,102.9,39.8,60.2,19:44,16:30,2,13,-1.8,35,25.7
10,Rasmus Andersson,29,CGY,D,18,347,335,50.9,-4.8,251,245,50.6,-3.8,8.5,92.3,100.8,50.4,49.6,24:06,18:46,3,29,-1.7,99,44.4
11,Emil Andrae,23,PHI,D,5,48,36,57.1,9.6,35,26,57.4,11.2,0.0,100.0,100.0,69.0,31.0,12:07,11:60,2,3,1.9,5,80.0
12,Mason Appleton,30,DET,C,16,203,202,50.1,-3.2,139,151,47.9,-6.5,13.2,87.3,100.5,42.5,57.5,14:15,12:26,0,13,-4.5,25,68.0
13,Joel Armia,32,LAK,RW,17,185,179,50.8,-2.7,132,123,51.8,-1.0,10.5,93.9,104.4,47.7,52.3,13:55,11:49,6,13,0.2,45,42.2
14,Viktor Arvidsson,32,BOS,LW,18,211,237,47.1,-1.8,148,165,47.3,-2.4,12.6,94.2,106.9,40.4,59.6,14:27,12:17,5,14,-2.1,92,52.2
15,Jonathan Aspirot,26,BOS,D,6,73,90,44.8,-6.4,47,64,42.3,-9.4,8.6,95.1,103.7,38.9,61.1,15:07,14:19,0,8,0.2,9,44.4
16,Zach Aston-Reese,31,CBJ,C,11,87,98,47.0,-7.8,61,68,47.3,-6.5,7.5,93.0,100.5,22.2,77.8,10:09,9:08,1,6,0.4,14,71.4
17,Oskar Back,25,DAL,C,7,43,55,43.9,-3.5,24,37,39.3,-9.2,17.6,95.0,112.6,19.4,80.6,12:22,10:40,1,4,0.8,5,40.0
18,Mikael Backlund,36,CGY,C,18,240,219,52.3,-2.0,172,158,52.1,-1.0,7.4,90.3,97.7,28.2,71.8,16:32,13:22,6,13,0.5,73,61.6
19,Kevin Bahl,25,CGY,D,17,280,312,47.3,-9.9,204,226,47.4,-7.9,9.6,96.1,105.7,45.5,54.5,21:04,17:52,12,23,-2.7,35,37.1
20,Arshdeep Bains,25,VAN,F,18,141,148,48.8,2.0,102,107,48.8,1.0,4.7,94.7,99.4,60.7,39.3,9:31,8:53,4,6,-0.9,19,68.4
Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
