Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Unnamed: 1_level_1,Unnamed: 2_level_0 AvAge,Unnamed: 3_level_0 GP,Unnamed: 4_level_0 W,Unnamed: 5_level_0 L,Unnamed: 6_level_0 OL,Unnamed: 7_level_0 PTS,Unnamed: 8_level_0 PTS%,Unnamed: 9_level_0 GF,Unnamed: 10_level_0 GA,Unnamed: 11_level_0 SOW,Unnamed: 12_level_0 SOL,Unnamed: 13_level_0 SRS,Unnamed: 14_level_0 SOS,Per_game GF/G,Per_game GA/G,Special Teams PP,Special Teams PPO,Special Teams PP%,Special Teams PPA,Special Teams PPOA,Special Teams PK%,Special Teams SH,Special Teams SHA,Special Teams PIM/G,Special Teams oPIM/G,Shot Data S,Shot Data S%,Shot Data SA,Shot Data SV%,Unnamed: 31_level_0 SO
1.0,Colorado Avalanche,30.4,17,11,1,5,27,0.794,68,41,0.0,2.0,1.71,0.24,4.0,2.41,12,67,17.91,6,54,88.89,1,2,8.1,9.5,579,11.7,445,0.908,0
2.0,New Jersey Devils,29.2,16,11,4,1,23,0.719,53,47,1.0,0.0,0.8,0.36,3.31,2.94,11,43,25.58,7,49,85.71,4,0,7.0,6.3,463,11.4,452,0.896,0
3.0,Anaheim Ducks,26.6,16,11,4,1,23,0.719,63,50,1.0,0.0,1.18,0.3,3.94,3.13,14,61,22.95,13,55,76.36,3,0,10.3,10.3,488,12.9,486,0.897,0
4.0,Dallas Stars,28.1,17,10,4,3,23,0.676,50,52,2.0,1.0,-0.12,-0.06,2.94,3.06,20,61,32.79,14,53,73.58,0,3,7.9,8.2,443,11.3,477,0.891,1
5.0,Boston Bruins,28.3,18,11,7,0,22,0.611,61,59,1.0,0.0,0.52,0.35,3.39,3.28,15,60,25.0,13,69,81.16,0,2,10.8,9.8,492,12.4,540,0.891,0
6.0,Montreal Canadiens,26.2,16,10,4,2,22,0.688,58,51,0.0,1.0,0.07,-0.31,3.63,3.19,12,46,26.09,11,55,80.0,1,0,10.1,9.1,395,14.7,433,0.882,0
7.0,Carolina Hurricanes,28.8,16,11,5,0,22,0.688,59,46,1.0,0.0,1.14,0.27,3.69,2.88,6,48,12.5,10,55,81.82,2,0,9.9,8.9,532,11.1,426,0.892,1
8.0,Pittsburgh Penguins,30.1,17,9,5,3,21,0.618,57,45,0.0,3.0,0.49,-0.04,3.35,2.65,15,42,35.71,8,51,84.31,1,2,9.4,9.0,481,11.9,504,0.911,2
9.0,Winnipeg Jets,31.1,16,10,6,0,20,0.625,52,42,0.0,0.0,0.45,-0.18,3.25,2.63,12,54,22.22,9,63,85.71,3,0,10.4,9.3,435,12.0,474,0.911,0
10.0,Los Angeles Kings,31.0,17,8,5,4,20,0.588,49,49,1.0,3.0,0.07,0.19,2.88,2.88,9,54,16.67,14,62,77.42,3,4,8.5,7.8,494,9.9,465,0.895,1
