away_team,away_team_norm,book,commence_time,game_id,home_team,home_team_norm,league,moneyline_away,moneyline_home,updated_at
New York Jets,jets,draftkings,2025-11-14T01:15:00Z,32ec2bd4ac9e4c40f9f5cbed7e67f837,New England Patriots,england patriots,nfl,625,-950,2025-11-12T06:47:20.790384+00:00
Washington Commanders,washington commanders,draftkings,2025-11-16T14:30:00Z,265f0188945bb81ec64751571eb724cb,Miami Dolphins,miami dolphins,nfl,124,-148,2025-11-12T06:47:20.790473+00:00
Carolina Panthers,carolina panthers,draftkings,2025-11-16T18:00:00Z,0ae85bbc3711ad0cb94475a40e2364f0,Atlanta Falcons,atlanta falcons,nfl,160,-192,2025-11-12T06:47:20.790529+00:00
Tampa Bay Buccaneers,tampa bay buccaneers,draftkings,2025-11-16T18:00:00Z,96377d2fb55e3cef733cecccdecaed5f,Buffalo Bills,buffalo bills,nfl,190,-230,2025-11-12T06:47:20.790582+00:00
Chicago Bears,chicago bears,draftkings,2025-11-16T18:00:00Z,229a5e9ce60dcb344a8cc3c97121154e,Minnesota Vikings,minnesota vikings,nfl,145,-175,2025-11-12T06:47:20.790632+00:00
Cincinnati Bengals,cincinnati bengals,draftkings,2025-11-16T18:00:00Z,7147476b5d96c0ee874b838de3910ee3,Pittsburgh Steelers,pittsburgh steelers,nfl,195,-238,2025-11-12T06:47:20.790685+00:00
Green Bay Packers,green bay packers,draftkings,2025-11-16T18:00:00Z,5c06e82838fcfade9adf1e89b8bd3081,New York Giants,giants,nfl,-360,285,2025-11-12T06:47:20.790748+00:00
Houston Texans,houston texans,draftkings,2025-11-16T18:00:00Z,fd2f29289d6437a7c07d4780c5f04936,Tennessee Titans,tennessee titans,nfl,-340,270,2025-11-12T06:47:20.790795+00:00
Los Angeles Chargers,chargers,draftkings,2025-11-16T18:00:00Z,591fd7cff37201a14cbdfbd457592445,Jacksonville Jaguars,jacksonville jaguars,nfl,-148,124,2025-11-12T06:47:20.790846+00:00
San Francisco 49ers,49ers,draftkings,2025-11-16T21:05:00Z,91630b9c62640117918fa30d2a62d2db,Arizona Cardinals,arizona cardinals,nfl,-148,124,2025-11-12T06:47:20.790896+00:00
Seattle Seahawks,seattle seahawks,draftkings,2025-11-16T21:05:00Z,e926e654cedeb65fcfcc389a5158ef4e,Los Angeles Rams,rams,nfl,130,-155,2025-11-12T06:47:20.790949+00:00
Baltimore Ravens,baltimore ravens,draftkings,2025-11-16T21:25:00Z,cc60225b5a907bd9ba7c27c23131fc5c,Cleveland Browns,cleveland browns,nfl,-455,350,2025-11-12T06:47:20.790997+00:00
Kansas City Chiefs,kansas chiefs,draftkings,2025-11-16T21:25:00Z,96ce7785b0980b03282c7e10d4c58d4a,Denver Broncos,denver broncos,nfl,-205,170,2025-11-12T06:47:20.791046+00:00
Detroit Lions,detroit lions,draftkings,2025-11-17T01:20:00Z,6d209e0e637f3b116ec958e0634f2a02,Philadelphia Eagles,philadelphia eagles,nfl,130,-155,2025-11-12T06:47:20.791093+00:00
Dallas Cowboys,dallas cowboys,draftkings,2025-11-18T01:15:00Z,80d04ba917883a6438580ebae9fb0f22,Las Vegas Raiders,las vegas raiders,nfl,-185,154,2025-11-12T06:47:20.791146+00:00
Buffalo Bills,buffalo bills,draftkings,2025-11-21T01:15:00Z,cd2e0964817c30ad3f5144ea49b55f2b,Houston Texans,houston texans,nfl,-135,114,2025-11-12T06:47:20.791193+00:00
New York Jets,jets,draftkings,2025-11-23T18:00:00Z,7159d60c7a31c7d593167637723d7663,Baltimore Ravens,baltimore ravens,nfl,650,-1000,2025-11-12T06:47:20.791240+00:00
Pittsburgh Steelers,pittsburgh steelers,draftkings,2025-11-23T18:00:00Z,c8913b70b63ae247f23a4e1dec08c668,Chicago Bears,chicago bears,nfl,105,-125,2025-11-12T06:47:20.791287+00:00
