away_team,away_team_norm,book,commence_time,game_id,home_team,home_team_norm,league,moneyline_away,moneyline_home,updated_at
Anaheim Ducks,anaheim ducks,draftkings,2025-11-14T00:10:00Z,80e66c71ae0bb8210d6409914d85a64a,Detroit Red Wings,detroit red wings,nhl,105,-125,2025-11-13T06:47:25.181495+00:00
Boston Bruins,boston bruins,draftkings,2025-11-14T00:10:00Z,c1ba858b7ebcab0577d84634db9195f6,Ottawa Senators,ottawa senators,nhl,145,-175,2025-11-13T06:47:25.181525+00:00
Dallas Stars,dallas stars,draftkings,2025-11-14T00:10:00Z,dfd6af187aee0615e856d30b900d5411,Montréal Canadiens,montréal canadiens,nhl,-115,-105,2025-11-13T06:47:25.181553+00:00
Washington Capitals,washington capitals,draftkings,2025-11-14T00:10:00Z,63f6ab19d51b87d9727345b5e2b6044b,Florida Panthers,florida panthers,nhl,114,-135,2025-11-13T06:47:25.181571+00:00
Los Angeles Kings,kings,draftkings,2025-11-14T00:10:00Z,71f8ed63fc501e4cc1f41bf1374a132b,Toronto Maple Leafs,toronto maple leafs,nhl,-112,-108,2025-11-13T06:47:25.181589+00:00
Edmonton Oilers,edmonton oilers,draftkings,2025-11-14T00:40:00Z,830ae7964563d8ddb15a547f842d7767,Columbus Blue Jackets,columbus blue jackets,nhl,-115,-105,2025-11-13T06:47:25.181608+00:00
Buffalo Sabres,buffalo sabres,draftkings,2025-11-14T02:10:00Z,23fc135031dd9603a89a7cc80e01615d,Colorado Avalanche,colorado avalanche,nhl,260,-325,2025-11-13T06:47:25.181626+00:00
San Jose Sharks,jose sharks,draftkings,2025-11-14T02:10:00Z,0a1518a6bfc5928073bdc1dd14dfd8a4,Calgary Flames,calgary flames,nhl,140,-166,2025-11-13T06:47:25.181643+00:00
New York Islanders,islanders,draftkings,2025-11-14T03:10:00Z,1ebe608cbe9d4df92bdc3afa7fecf93a,Vegas Golden Knights,vegas golden knights,nhl,160,-192,2025-11-13T06:47:25.181660+00:00
Winnipeg Jets,winnipeg jets,draftkings,2025-11-14T03:10:00Z,956a8d0f6da00f7a78cc8fcd28d38697,Seattle Kraken,seattle kraken,nhl,-148,124,2025-11-13T06:47:25.181677+00:00
Pittsburgh Penguins,pittsburgh penguins,draftkings,2025-11-14T19:15:00Z,5032d91bbd469628f7b77aaf42470092,Nashville Predators,nashville predators,nhl,-110,-110,2025-11-13T06:47:25.181696+00:00
