away_team,away_team_id,b2b_away,b2b_home,date,edge_away,edge_home,event_id,home_team,home_team_id,implied_away,implied_home,league,moneyline_away,moneyline_home,proj_away,proj_home,rest_days_away,rest_days_home,status,streak_away,streak_home
Milwaukee Bucks,15,False,False,2025-11-13T00:00Z,,,401810068,Charlotte Hornets,30,,,nba,,,,,-1,-1,Scheduled,0,0
Chicago Bulls,4,False,False,2025-11-13T00:00Z,,,401810069,Detroit Pistons,8,,,nba,,,,,-1,-1,Scheduled,0,0
Orlando Magic,19,False,False,2025-11-13T00:00Z,,,401810070,New York Knicks,18,,,nba,,,,,-1,-1,Scheduled,0,0
Memphis Grizzlies,29,False,False,2025-11-13T00:30Z,,,401810071,Boston Celtics,2,,,nba,,,,,-1,-1,Scheduled,0,0
Cleveland Cavaliers,5,False,False,2025-11-13T00:30Z,,,401810072,Miami Heat,14,,,nba,,,,,-1,-1,Scheduled,0,0
Washington Wizards,27,False,False,2025-11-13T01:00Z,,,401810073,Houston Rockets,10,,,nba,,,,,-1,-1,Scheduled,0,0
Portland Trail Blazers,22,False,False,2025-11-13T01:00Z,,,401810074,New Orleans Pelicans,3,,,nba,,,,,-1,-1,Scheduled,0,0
Golden State Warriors,9,False,False,2025-11-13T01:00Z,,,401810075,San Antonio Spurs,24,,,nba,,,,,-1,-1,Scheduled,0,0
Phoenix Suns,21,False,False,2025-11-13T01:30Z,,,401810076,Dallas Mavericks,6,,,nba,,,,,-1,-1,Scheduled,0,0
Los Angeles Lakers,13,False,False,2025-11-13T02:30Z,,,401810077,Oklahoma City Thunder,25,,,nba,,,,,-1,-1,Scheduled,0,0
Atlanta Hawks,1,False,False,2025-11-13T03:00Z,,,401810078,Sacramento Kings,23,,,nba,,,,,-1,-1,Scheduled,0,0
Denver Nuggets,7,False,False,2025-11-13T03:30Z,,,401810079,LA Clippers,12,,,nba,,,,,-1,-1,Scheduled,0,0
New York Rangers,13,False,False,2025-11-13T00:00Z,,,401802616,Tampa Bay Lightning,20,,,nhl,,,,,-1,-1,Scheduled,0,0
Edmonton Oilers,6,False,False,2025-11-13T00:30Z,,,401802617,Philadelphia Flyers,15,,,nhl,,,,,-1,-1,Scheduled,0,0
Buffalo Sabres,2,False,False,2025-11-13T02:00Z,,,401802618,Utah Mammoth,129764,,,nhl,,,,,-1,-1,Scheduled,0,0
New Jersey Devils,11,False,False,2025-11-13T02:30Z,,,401802619,Chicago Blackhawks,4,,,nhl,,,,,-1,-1,Scheduled,0,0
